source_relative_path,local_filename,source_absolute_path,local_bundle_path,sha256
exdqlm_multivar_synth_keep_cutoff_window_posterior_samples.pdf,exdqlm_multivar_synth_keep_cutoff_window_posterior_samples.pdf,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_authoritative_rdata_retention_current_20260623/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/post/outputs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples.pdf,artifacts/representative_selected_model_2022_12_25/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples.pdf,ecf86dbe8a486435249deba4e4fa3ad82402d1e6aa4fe3adb311a0c0ab754ef5
exdqlm_multivar_synth_keep_cutoff_window_posterior_samples.png,exdqlm_multivar_synth_keep_cutoff_window_posterior_samples.png,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_authoritative_rdata_retention_current_20260623/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/post/outputs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples.png,artifacts/representative_selected_model_2022_12_25/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples.png,180e92a3dbb3e86dcb3e71383393a1fdc33e239b9748b57a12700205bdb1527f
exdqlm_multivar_synth_keep_cutoff_window_posterior_samples_with_raw_ensembles.pdf,exdqlm_multivar_synth_keep_cutoff_window_posterior_samples_with_raw_ensembles.pdf,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_authoritative_rdata_retention_current_20260623/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/post/outputs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples_with_raw_ensembles.pdf,artifacts/representative_selected_model_2022_12_25/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples_with_raw_ensembles.pdf,4aa7a1b8c92c4a83ff00df2ed0bec13c2f4b85cb585d8720485761872dccf6e5
exdqlm_multivar_synth_keep_cutoff_window_posterior_samples_with_raw_ensembles.png,exdqlm_multivar_synth_keep_cutoff_window_posterior_samples_with_raw_ensembles.png,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_authoritative_rdata_retention_current_20260623/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/post/outputs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples_with_raw_ensembles.png,artifacts/representative_selected_model_2022_12_25/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples_with_raw_ensembles.png,724d9cfe36ee6b14add53d951a0cf4ce2492fb1eed998a0be8e29ba6ac729bda
exdqlm_multivar_synth_keep_cutoff_window_quantiles.csv,exdqlm_multivar_synth_keep_cutoff_window_quantiles.csv,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_authoritative_rdata_retention_current_20260623/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/post/outputs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/exdqlm_multivar_synth_keep_cutoff_window_quantiles.csv,artifacts/representative_selected_model_2022_12_25/exdqlm_multivar_synth_keep_cutoff_window_quantiles.csv,d9085dcb972fc5d486f10f0867ca0b682e56336051c2b52f104a65e6924fc010
exdqlm_multivar_synth_keep_cutoff_window_sample_subset.csv,exdqlm_multivar_synth_keep_cutoff_window_sample_subset.csv,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_authoritative_rdata_retention_current_20260623/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/post/outputs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/exdqlm_multivar_synth_keep_cutoff_window_sample_subset.csv,artifacts/representative_selected_model_2022_12_25/exdqlm_multivar_synth_keep_cutoff_window_sample_subset.csv,037756589cd486a09015df2c857ddc02fc19bb9a0cf73cce8c173f6e1b6ddc20
figure_manifest.csv,figure_manifest.csv,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_authoritative_rdata_retention_current_20260623/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/post/outputs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/figure_manifest.csv,artifacts/representative_selected_model_2022_12_25/figure_manifest.csv,a25a5f41a9036bd8b82d3f67fdf09cdb53b3612db8d049ae6e5779898182edbd
publication_figure_manifest.csv,publication_figure_manifest.csv,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_authoritative_rdata_retention_current_20260623/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/post/outputs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/publication_figure_manifest.csv,artifacts/representative_selected_model_2022_12_25/publication_figure_manifest.csv,b4b68fa7c64025bd1fc969bb038675dc49465fc061a6e6620dd00eef26d733e8
publication_style_used.yaml,publication_style_used.yaml,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_authoritative_rdata_retention_current_20260623/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/post/outputs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/publication_style_used.yaml,artifacts/representative_selected_model_2022_12_25/publication_style_used.yaml,f76e1f29f822a0801a85a7c77a6f3c7e9f4159e4f7fa22f62b31419e1b6d6779
tables/covariate_effects_summary.csv,covariate_effects_summary.csv,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_authoritative_rdata_retention_current_20260623/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/post/outputs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_authoritative_rdata_retained_current_20260623/tables/covariate_effects_summary.csv,artifacts/representative_selected_model_2022_12_25/covariate_effects_summary.csv,0601b6d18cc5e1caa2c5366fad520f8877b64f92ab2bdcc1007a2ca62e8d1bb1
